canonical_smiles,name,organism,pathway,pAct_ACC2,pAct_DGAT2,pAct_FASN,pAct_FDFT1,pAct_FXR,pAct_HMGCR,pAct_LXRa,pAct_PPARG,pAct_SCD,pAct_THRb,top3_mean,max_pAct,tcm,n_active,MTS
CC(C)=CCC1=CC([C@@H]2CC(=O)C3=CC=C(O)C(CC=C(C)C)=C3O2)=CC2=C1OC(C)(C)C=C2,"(2S)-2-[2,2-dimethyl-8-(3-methylbut-2-enyl)chromen-6-yl]-7-hydroxy-8-(3-methylbut-2-enyl)-2,3-dihydrochromen-4-one",Euchresta formosana|Sophora subprostrata|Sophora tonkinensis,Shikimates and Phenylpropanoids,6.51,7.55,5.52,5.63,6.76,5.31,5.67,6.06,5.15,7.39,7.23,7.55,苦参/槐,4,28.21
O=C(/C=C/C1=C[C@H]2[C@H](C3=CC=C(O)C(O)=C3)[C@@H](C(=O)O)[C@@H]1C(=O)[C@]21O[C@@H]2[C@@H]3C=C(/C=C/C(=O)O[C@@H](CC4=CC=C(O)C(O)=C4)C(=O)O)[C@@H]([C@H](C(=O)O)[C@H]3C3=CC=C(O)C(O)=C3)[C@]2(O)O1)O[C@@H](CC1=CC=C(O)C(O)=C1)C(=O)O,,Salvia yunnanensis,Shikimates and Phenylpropanoids,6.77,7.46,5.41,6.6,5.46,5.96,6.15,4.98,5.21,7.38,7.2,7.46,丹参,4,28.21
CC(C)C[C@@H]1/N=C(\O)C/N=C(\O)[C@H](CC2=CNC3=CC=CC=C23)/N=C(\O)[C@@H]2CCCN2C(=O)[C@H](CC2=CNC3=CC=CC=C23)/N=C(\O)C/N=C(\O)[C@H](CC2=CN=CN2)/N=C/1O,"(3~{S},4~{Z},7~{Z},9~{S},10~{Z},12~{S},13~{Z},16~{Z},18~{S},19~{Z},21~{S})-5,8,11,14,17,20-hexahydroxy-9-(1~{H}-imidazol-5-ylmethyl)-3,18-bis(1~{H}-indol-3-ylmethyl)-12-isobutyl-1,4,7,10,13,16,19-heptazabicyclo[19.3.0]tetracosa-4,7,10,13,16,19-hexaen-2-one",Ambrosia cordifolia|Croton hieronymi|Desmanthus illinoensis|Elsholtzia bodinieri|Equisetum silvaticum|Ipomoea purpurea|Monomorium fieldi|Narcissus serotinus|Ormosia cinerea|Pterocarpus angolensis|Rabdosia coetsoides|Romalea microptera|Sistotrema raduloides,Alkaloids,6.53,8.02,5.59,5.86,5.43,5.04,5.4,6.75,5.23,6.89,7.22,8.02,香茶菜,4,28.19
CC(C)=CCC1=C(O)C=C2OC[C@](O)(C3=CC=C(O)C4=C3OC(C)(C)C=C4)C(=O)C2=C1O,"(3R)-3,5,7-trihydroxy-3-(5-hydroxy-2,2-dimethylchromen-8-yl)-6-(3-methylbut-2-enyl)-2H-chromen-4-one",Glycyrrhiza uralensis,Shikimates and Phenylpropanoids,6.71,7.61,5.44,6.54,5.69,5.62,5.69,5.54,5.24,7.33,7.22,7.61,甘草,4,28.19
C=C(C)[C@@H](CC=C(C)C)CC1=C(OC)C=C(O)C2=C1O[C@@H](C1=CC(O)=CC=C1O)CC2=O,,Sophora exigua,Shikimates and Phenylpropanoids,6.52,7.58,5.11,6.3,6.78,5.82,5.67,5.92,5.07,7.29,7.22,7.58,苦参/槐,4,28.17
C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](OC(=O)/C=C/C3=CC=C(O)C(OC)=C3)[C@H](O)[C@H]2O)OC=C2C(=O)OCC[C@]21O,,Andrographis macrobotrys|Begonia fagifolia|Cephalosporium chrysogenum|Cercospora traversiana|Cetraria ornata|Chiloscyphus pallescens|Corollospora pulchella|Dryopteris villarii|Keteleeria evelyniana|Leontice leontopetalum|Lithocarpus litseifolius|Naranga aenescens|Paenibacillus larvae subsp. pulvifaciens|Silene praemixta|Swertia leducii|Zanthoxylum macrophyllum,Terpenoids,6.81,7.52,5.36,6.5,5.52,5.65,5.9,5.95,5.29,7.34,7.22,7.52,当药/藏茵陈,4,28.17
C=C[C@H]1[C@H](O[C@@H]2O[C@H](COC(C)=O)[C@@H](OC(=O)C3=CC=CC(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=C3O)[C@H](OC(C)=O)[C@H]2OC(=O)C2=CC(O)=CC=C2O)OC=C2C(=O)OCC[C@]21O,,Gentiana siphonantha,Terpenoids,6.68,7.77,5.31,6.54,5.76,5.54,5.89,5.99,5.39,7.18,7.21,7.77,龙胆/秦艽,4,28.17
C=C[C@H]1C(O[C@@H]2O[C@H](CO)[C@H](OC(=O)/C=C/C3=CC=C(O)C(OC)=C3)[C@@H](O)[C@H]2O)OC=C2C(=O)OCC[C@]21O,,Swertia angustifolia,Terpenoids,6.81,7.52,5.36,6.5,5.52,5.65,5.9,5.95,5.29,7.34,7.22,7.52,当药/藏茵陈,4,28.17
C=C(C)[C@H]1CC2=C(OC3=C4C=CC(C)(C)OC4=CC(O)=C3C2=O)C2=C(O)C=C(O)C(O)=C21,artobiloxanthone,Artocarpus communis|Artocarpus elasticus|Artocarpus kemando|Artocarpus lanceaefolia|Artocarpus nobilis|Artocarpus rigidus|Artocarpus scortechinii|Desmodium tortuosum|Epichloe festucae var. lolii|Eucalyptus amplifolia|Grateloupia carnosa|Paeonia rockii|Papaver pavoninum|Salvia calycina|artocarpus rigida|breadfruit,Shikimates and Phenylpropanoids,6.87,7.57,4.41,6.23,6.7,5.23,5.72,5.37,5.06,7.02,7.15,7.57,丹参,4,28.16
CC1(C(=O)OC2OC(CO)C(O)C(O)C2O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(CO)C5CCC43C)C2C1,,Glycyrrhiza inflata|Glycyrrhiza uralensis|liquorice,Terpenoids,6.65,7.55,4.47,7.44,5.25,5.21,5.81,5.67,5.18,6.52,7.21,7.55,甘草,4,28.16
COC(=O)[C@@]1(C)CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,Methyl glycyrrhetinate,Glycyrrhiza uralensis|Lentinus tigrinus|Mitracarpus scaber,Terpenoids,6.65,7.39,4.49,7.43,5.0,5.54,6.1,5.3,5.16,6.68,7.17,7.43,甘草,4,28.15
CC(C)=CCC1=C(O)C=CC([C@@]2(O)COC3=CC(O)=C(CC=C(C)C)C(O)=C3C2=O)=C1O,"(3R)-3-[2,4-dihydroxy-3-(3-methylbut-2-enyl)phenyl]-3,5,7-trihydroxy-6-(3-methylbut-2-enyl)-2H-chromen-4-one",Glycyrrhiza uralensis,Shikimates and Phenylpropanoids,6.55,7.59,5.35,6.68,5.64,5.59,5.73,5.54,5.22,7.33,7.2,7.59,甘草,4,28.15
CC(C)C[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CO)C(C)C)[C@@H](C)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CS)C(=O)N[C@@H](C)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)O,"(4~{S})-5-[[(1~{S})-2-[[(1~{S},2~{R})-1-[[(1~{S})-2-[[(1~{S})-2-[[(1~{S})-2-[[(1~{S})-5-amino-1-[[(1~{S})-1-[[(1~{S})-5-amino-1-[[(1~{S})-2-[[(1~{R})-2-[[(1~{S})-2-[[2-[[(1~{S})-1-carboxy-4-guanidino-butyl]amino]-2-oxo-ethyl]amino]-1-methyl-2-oxo-ethyl]amino]-2-oxo-1-(sulfanylmethyl)ethyl]amino]-1-[(4-hydroxyphenyl)methyl]-2-oxo-ethyl]carbamoyl]pentyl]carbamoyl]-3-methyl-butyl]carbamoyl]pentyl]amino]-1-[(4-hydroxyphenyl)methyl]-2-oxo-ethyl]amino]-1-(carboxymethyl)-2-oxo-ethyl]amino]-1-(carboxymethyl)-2-oxo-ethyl]carbamoyl]-2-hydroxy-propyl]amino]-1-(hydroxymethyl)-2-oxo-ethyl]amino]-4-[[(2~{S})-2-[[(2~{S})-2-[[(2~{S})-2-[[(2~{S})-6-amino-2-[[(2~{S})-2-amino-3-hydroxy-propanoyl]amino]hexanoyl]amino]-3-methyl-butanoyl]amino]-3-(1~{H}-indol-3-yl)propanoyl]amino]-4-carboxy-butanoyl]amino]-5-oxo-pentanoic acid",Cassia obtusifolia,Amino acids and Peptides,6.15,7.28,5.55,7.08,5.92,5.81,6.0,6.62,5.8,7.17,7.18,7.28,决明子,4,28.15
CC1(C)C=CC2=C(C=C(O)C3=C2OC2=C(O)C(O)=CC=C2C3=O)O1,Isojacareubin,Garcina xipshuanbannaensis|Garcinia cowa|Garcinia livingstonei|Garcinia xipshuanbannaensis|Hypericum japonicum|Hypericum roeperanum|Hypericum roeperianum,Shikimates and Phenylpropanoids,6.74,7.59,5.15,6.1,6.56,5.73,5.71,5.26,5.1,7.26,7.2,7.59,地耳草/田基黄,4,28.15
CC1(C)[C@H]2CC[C@@]3(C)[C@@H](C(=O)C=C4[C@@H]5C[C@](C)(C(=O)O[C@H]6O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]6O)CC[C@@]5(C)CC[C@@]43C)[C@]2(C)CC[C@H]1O[C@H]1O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]1O[C@H]1O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]1O,"(2R,3R,4R,5S,6S)-6-[(2S,3S,4R,5R,6R)-2-[[(3R,4aS,6aS,6bR,8aR,11R,12aR,14aS,14bR)-4,4,6a,6b,8a,11,14b-heptamethyl-14-oxo-11-[(2R,3S,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-2,3,4a,5,6,7,8,9,10,12,12a,14a-dodecahydro-1H-picen-3-yl]oxy]-6-carboxy-4,5-dihydroxyoxan-3-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",Glycyrrhiza uralensis,Terpenoids,6.63,7.53,4.46,7.44,5.29,5.48,5.83,5.81,5.17,6.54,7.2,7.53,甘草,4,28.14
C=C[C@@H]1[C@H](O[C@H]2O[C@@H](COC(C)=O)[C@H](OC(=O)C3=CC=CC(O[C@H]4O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]4O)=C3O)[C@@H](OC(C)=O)[C@@H]2OC(=O)C2=CC=C(O)C(O)=C2)OC=C2C(=O)OCC[C@@]21O,,Gentiana macrophylla,Terpenoids,6.64,7.67,5.35,6.51,5.89,5.53,5.86,6.01,5.59,7.32,7.21,7.67,龙胆/秦艽,4,28.14
CC1(C)C=CC2=C(C=CC3=C2N=C(O)[C@@]32C[C@@]34N=C(O)[C@]5(CCCN5C3=O)C[C@H]4C2(C)C)O1,"(1~{S},7~{S},9~{S},11~{R})-2',14-dihydroxy-7',7',10,10-tetramethyl-spiro[3,13-diazatetracyclo[5.5.2.0^{1,9}.0^{3,7}]tetradec-13-ene-11,3'-pyrano[2,3-g]indole]-2-one",Acherontia atropus|Achillea macrophylla|Agave aurea|Ajuga spectabilis|Alstroemeria revoluta|Aspergillus sp.|Aspergillus sulphureus + Isaria felina|Astragalus tragacantha|Baphia nitida|Callistemon viminalis|Cissus pallidiflorus|Crataegus davisii|Crinum erubescens|Cupressus lawsoniana|Emilia sonchifolia|Encephalartos altensteinii|Eria foetida|Eupatorium havanense|Euphorbia kamerunica|Euphorbia marginata|Excoecaria oppositifolia|Gardenia collinsae|Grindelia acutifolia|Guanomyces polythrix|Gymnosporia senegalensis|Ircinia oros|Jungermannia hyalina|Kobresia nepalensis|Ligularia muliensis|Litsea aciculata|Litsea pulchella|Marrubium alysson|Melampodium heterophyllum|Myrmica sabuleti|Mytilus edulis|Nuphar lutea|Pausinystalia mayumbensis|Penicillium olsonii|Pentzia incana|Perilla frutescens var. arguta|Prangos pabularia|Pronephrium triphyllum|Selliguea feei|Shuteria involucrata var. vestita|Simaba multiflora|Sinocalamus affinis|Stevia chamaedrys|Teucrium oxylepis|Trifolium subterraneum|Trillium camschatcense|Ursinia abrotanifolia|Xenorhabdus bovienii,Alkaloids,7.08,7.51,5.75,5.94,6.82,5.44,5.6,5.35,5.15,6.73,7.14,7.51,栀子,4,28.14
COC1=C(O)C=CC2=C1OC1=C3C(=CC(O)=C1C2=O)OC(=O)CC3(C)C,,Amphicome emodi|Ardisia polycephala|Artemisia leucodes|Cratoxylum sumatranum|Galanthus gracilis|Gaultheria itoana|Hippoglossus hippoglossus|Hymeniacidon perlevis|Parmotrema delicatulum|Polygala virgata|Populus italica|Pseudosuberites hyalinus|Ribes rubrum|Scorzonera judaica|Verbena brasiliensis,Shikimates and Phenylpropanoids,6.55,7.56,5.02,6.75,5.3,5.94,5.91,5.27,5.05,7.28,7.2,7.56,茵陈/青蒿,4,28.14
CC1(C)[C@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@H]2O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]2O)CC[C@]2(C)[C@H]1CC[C@@]1(C)[C@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O[C@H]4O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]4O)CC[C@]3(C)CC[C@@]21C,,Glycyrrhiza uralensis|Lentinus tigrinus|Mitracarpus scaber,Terpenoids,6.63,7.53,4.46,7.44,5.29,5.48,5.83,5.81,5.17,6.54,7.2,7.53,甘草,4,28.14
CC1(C)C=CC2=C(C=CC3=C2N(O)C(=O)[C@@]32C[C@@]34N=C(O)[C@]5(CCCN5C3=O)C[C@H]4C2(C)C)O1,"(1~{S},7~{S},9~{S},11~{R})-1',14-dihydroxy-7',7',10,10-tetramethyl-spiro[3,13-diazatetracyclo[5.5.2.0^{1,9}.0^{3,7}]tetradec-13-ene-11,3'-pyrano[2,3-g]indole]-2,2'-dione",Acherontia atropus|Achillea macrophylla|Agave aurea|Ajuga spectabilis|Alstroemeria revoluta|Astragalus tragacantha|Baphia nitida|Callistemon viminalis|Cissus pallidiflorus|Crataegus davisii|Crinum erubescens|Cupressus lawsoniana|Emilia sonchifolia|Encephalartos altensteinii|Eria foetida|Eupatorium havanense|Euphorbia kamerunica|Euphorbia marginata|Excoecaria oppositifolia|Gardenia collinsae|Grindelia acutifolia|Guanomyces polythrix|Gymnosporia senegalensis|Ircinia oros|Jungermannia hyalina|Kobresia nepalensis|Ligularia muliensis|Litsea aciculata|Litsea pulchella|Marrubium alysson|Melampodium heterophyllum|Myrmica sabuleti|Mytilus edulis|Nuphar lutea|Pausinystalia mayumbensis|Penicillium olsonii|Pentzia incana|Perilla frutescens var. arguta|Prangos pabularia|Pronephrium triphyllum|Selliguea feei|Shuteria involucrata var. vestita|Simaba multiflora|Sinocalamus affinis|Stevia chamaedrys|Teucrium oxylepis|Trifolium subterraneum|Trillium camschatcense|Ursinia abrotanifolia|Xenorhabdus bovienii,Alkaloids,7.02,7.55,5.76,5.96,6.74,5.44,5.59,5.62,5.12,6.83,7.13,7.55,栀子,4,28.14
CC1(C)C=CC2=C(C=CC3=C2OC[C@@H](C2=CC=C(O)C4=C2OC(C)(C)C=C4)C3)O1,"8-[(3R)-8,8-dimethyl-3,4-dihydro-2H-pyrano[2,3-f]chromen-3-yl]-2,2-dimethylchromen-5-ol",Glycyrrhiza inflata|liquorice,Shikimates and Phenylpropanoids,6.27,6.95,5.37,6.03,6.8,6.68,5.71,5.17,5.07,7.71,7.15,7.71,甘草,4,28.14
CC1(C(=O)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)CC[C@]2(C)CCC3(C)C(=CC(=O)C4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)C(C)(C)C5CC[C@]43C)[C@@H]2C1,,Glycyrrhiza uralensis,Terpenoids,6.63,7.53,4.46,7.44,5.29,5.48,5.83,5.81,5.17,6.54,7.2,7.53,甘草,4,28.14
CC1(C)[C@@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,Licoricesaponin A3,Glycyrrhiza glabra|Glycyrrhiza inflata|Glycyrrhiza uralensis|Lentinus tigrinus|Mitracarpus scaber,Terpenoids,6.63,7.53,4.46,7.44,5.29,5.48,5.83,5.81,5.17,6.54,7.2,7.53,甘草,4,28.14
CC1(C)C=CC2=C(C=CC3=C2OC[C@H](C2=CC=C(O)C4=C2OC(C)(C)C=C4)C3)O1,,Glycyrrhiza inflata,Shikimates and Phenylpropanoids,6.27,6.95,5.37,6.03,6.8,6.68,5.71,5.17,5.07,7.71,7.15,7.71,甘草,4,28.14
CC1(C)[C@@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)CC[C@]3(C)CC[C@]21C,,Glycyrrhiza uralensis|Lentinus tigrinus|Mitracarpus scaber,Terpenoids,6.63,7.53,4.46,7.44,5.29,5.48,5.83,5.81,5.17,6.54,7.2,7.53,甘草,4,28.14
CC[C@@H]1C=CC=CC[C@H](C)[C@@H](O)[C@](C)(O)C(=O)[C@H](C)[C@@H](O)[C@H](C)C(=O)[C@H](C)[C@@H](O)[C@H](C)C=CC(=O)O[C@@H]2C[C@]3(CC[C@@H](C)[C@@H](C[C@@H](C)O)O3)O[C@H](CC1)[C@@H]2C,"(1~{R},5'~{R},6~{R},6'~{R},7~{S},8~{R},10~{S},11~{S},12~{R},14~{S},15~{R},16~{S},22~{S},25~{R},27~{S},29~{S})-22-ethyl-7,11,14,15-tetrahydroxy-6'-[(2~{R})-2-hydroxypropyl]-5',6,8,10,12,14,16,29-octamethyl-spiro[2,26-dioxabicyclo[23.3.1]nonacosa-4,18,20-triene-27,2'-tetrahydropyran]-3,9,13-trione",Aglaia gigantea|Albugo candida|Andropogon nardus|Clibadium pentaneuron|Croton californicus|Croton sparsiflorus|Culcitium canescens|Dendrobium rotundatum|Distolasterias nipon|Eriostemon fitzgeraldii|Espeletia marcana|Graphis elongata|Homarus americanus|Malva crispa|Neoalsomitra integrifolia|Nolina erumpens|Petasites niveus|Phellinus xeranticus|Picrorhiza kurrooa|Piptolepis leptospermoides|Ratibida latipalearis|Rhinella paracnemis|Solanum toxicarium|Toxicodendron succedaneum|Weddellina squamulosa|Xylaria berteri,Polyketides,7.14,7.61,4.38,6.07,6.84,5.7,5.57,6.53,5.12,5.82,7.2,7.61,胡黄连,4,28.12
COC1=CC(/C=C/C(=O)OCC2(O)CO[C@@H](OC3[C@H](OC4=CC=C([C@H]5CC(=O)C6=CC=C(O)C=C6O5)C=C4)OC(CO)[C@@H](O)[C@@H]3O)[C@H]2O)=CC=C1O,Licorice glycoside C1,Glycyrrhiza glabra|Glycyrrhiza inflata|Glycyrrhiza uralensis,Shikimates and Phenylpropanoids,6.71,7.51,5.35,6.15,6.81,5.79,5.78,5.75,5.24,7.07,7.13,7.51,甘草,4,28.1
COC1=CC(/C=C/C(=O)OCC2(O)CO[C@@H](OC3[C@H](OC4=CC=C([C@@H]5CC(=O)C6=CC=C(O)C=C6O5)C=C4)OC(CO)[C@@H](O)[C@@H]3O)[C@H]2O)=CC=C1O,Licorice glycoside C2,Glycyrrhiza glabra|Glycyrrhiza inflata|Glycyrrhiza uralensis,Shikimates and Phenylpropanoids,6.71,7.51,5.35,6.15,6.81,5.79,5.78,5.75,5.24,7.07,7.13,7.51,甘草,4,28.1
COC1=CC(/C=C/C(=O)OC[C@@]2(O)CO[C@@H](O[C@H]3[C@H](OC4=CC=C([C@H]5CC(=O)C6=CC=C(O)C=C6O5)C=C4)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@@H]2O)=CC=C1O,,Glycyrrhiza uralensis|Lentinus tigrinus|Mitracarpus scaber,Shikimates and Phenylpropanoids,6.71,7.51,5.35,6.15,6.81,5.79,5.78,5.75,5.24,7.07,7.13,7.51,甘草,4,28.1
COC1=CC(/C=C/C(=O)OC[C@@]2(O)CO[C@@H](O[C@H]3[C@H](OC4=CC=C([C@H]5CC(=O)C6=CC=C(O)C=C6O5)C=C4)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H]2O)=CC=C1O,,Glycyrrhiza uralensis,Shikimates and Phenylpropanoids,6.71,7.51,5.35,6.15,6.81,5.79,5.78,5.75,5.24,7.07,7.13,7.51,甘草,4,28.1
C=CC(C)(C)[C@@]1(C[C@@H]2N=C(O)[C@@H]3CCCN3C2=O)C(O)=NC2=C1C=CC1=C2C=CC(C)(C)O1,"(3S,8aS)-1-hydroxy-3-[[(3R)-2-hydroxy-7,7-dimethyl-3-(2-methylbut-3-en-2-yl)pyrano[2,3-g]indol-3-yl]methyl]-6,7,8,8a-tetrahydro-3H-pyrrolo[1,2-a]pyrazin-4-one",Acherontia atropus|Achillea macrophylla|Agave aurea|Ajuga spectabilis|Alstroemeria revoluta|Astragalus tragacantha|Baphia nitida|Callistemon viminalis|Cissus pallidiflorus|Crataegus davisii|Crinum erubescens|Cupressus lawsoniana|Emilia sonchifolia|Encephalartos altensteinii|Eria foetida|Eupatorium havanense|Euphorbia kamerunica|Euphorbia marginata|Excoecaria oppositifolia|Gardenia collinsae|Grindelia acutifolia|Guanomyces polythrix|Gymnosporia senegalensis|Ircinia oros|Jungermannia hyalina|Kobresia nepalensis|Ligularia muliensis|Litsea aciculata|Litsea pulchella|Marrubium alysson|Melampodium heterophyllum|Myrmica sabuleti|Mytilus edulis|Nuphar lutea|Pausinystalia mayumbensis|Penicillium olsonii|Pentzia incana|Perilla frutescens var. arguta|Prangos pabularia|Pronephrium triphyllum|Selliguea feei|Shuteria involucrata var. vestita|Simaba multiflora|Sinocalamus affinis|Stevia chamaedrys|Teucrium oxylepis|Trifolium subterraneum|Trillium camschatcense|Ursinia abrotanifolia|Xenorhabdus bovienii,Alkaloids,6.98,7.49,5.57,6.38,6.77,5.22,5.55,5.45,4.96,6.86,7.11,7.49,栀子,4,28.1
COC1=CC(/C=C/C(=O)OC[C@@]2(O)CO[C@@H](O[C@H]3[C@H](OC4=CC=C([C@@H]5CC(=O)C6=CC=C(O)C=C6O5)C=C4)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@@H]2O)=CC=C1O,Licorice glycoside C2,Glycyrrhiza inflata|Glycyrrhiza uralensis|Lentinus tigrinus|Mitracarpus scaber,Shikimates and Phenylpropanoids,6.71,7.51,5.35,6.15,6.81,5.79,5.78,5.75,5.24,7.07,7.13,7.51,甘草,4,28.1
COC1=CC(/C=C/C(=O)OC[C@@]2(O)CO[C@@H](O[C@@H]3[C@H](OC4=CC=C([C@@H]5CC(=O)C6=CC=C(O)C=C6O5)C=C4)O[C@@H](CO)[C@@H](O)[C@@H]3O)[C@H]2O)=CC=C1O,,Glycyrrhiza uralensis,Shikimates and Phenylpropanoids,6.71,7.51,5.35,6.15,6.81,5.79,5.78,5.75,5.24,7.07,7.13,7.51,甘草,4,28.1
CO[C@H]1C2=C(N(O)C3=C4C=CC(C)(C)OC4=CC=C23)C(C)(C)[C@@H]2C[C@]34CCCN3C(=O)[C@]12N=C4O,"(1~{R},2~{S},17~{S},19~{S})-14,26-dihydroxy-2-methoxy-9,9,16,16-tetramethyl-8-oxa-14,23,25-triazaheptacyclo[17.5.2.0^{1,17}.0^{3,15}.0^{4,13}.0^{7,12}.0^{19,23}]hexacosa-3(15),4,6,10,12,25-hexaen-24-one",Acherontia atropus|Achillea macrophylla|Agave aurea|Ajuga spectabilis|Alstroemeria revoluta|Astragalus tragacantha|Baphia nitida|Callistemon viminalis|Cissus pallidiflorus|Crataegus davisii|Crinum erubescens|Cupressus lawsoniana|Emilia sonchifolia|Encephalartos altensteinii|Eria foetida|Eupatorium havanense|Euphorbia kamerunica|Euphorbia marginata|Excoecaria oppositifolia|Gardenia collinsae|Grindelia acutifolia|Guanomyces polythrix|Gymnosporia senegalensis|Ircinia oros|Jungermannia hyalina|Kobresia nepalensis|Ligularia muliensis|Litsea aciculata|Litsea pulchella|Marrubium alysson|Melampodium heterophyllum|Myrmica sabuleti|Mytilus edulis|Nuphar lutea|Pausinystalia mayumbensis|Penicillium olsonii|Pentzia incana|Perilla frutescens var. arguta|Prangos pabularia|Pronephrium triphyllum|Selliguea feei|Shuteria involucrata var. vestita|Simaba multiflora|Sinocalamus affinis|Stevia chamaedrys|Teucrium oxylepis|Trifolium subterraneum|Trillium camschatcense|Ursinia abrotanifolia|Xenorhabdus bovienii,Alkaloids,7.07,7.53,5.75,6.05,6.67,5.49,5.41,6.16,5.2,6.82,7.14,7.53,栀子,4,28.09
O=C(/C=C/C1=C[C@@H]2[C@H](C3=CC=C(O)C(O)=C3)[C@H](C(=O)O)[C@H]1C(=O)[C@]21O[C@@]2(O)[C@@H]3C=C(/C=C/C(=O)O[C@@H](CC4=CC=C(O)C(O)=C4)C(=O)O)[C@@H]([C@@H](C(=O)O)[C@H]3C3=CC=C(O)C(O)=C3)[C@@]2(O)O1)O[C@@H](CC1=CC=C(O)C(O)=C1)C(=O)O,,Salvia yunnanensis,Shikimates and Phenylpropanoids,6.76,7.46,5.45,6.5,5.47,5.96,6.15,5.79,5.23,7.37,7.2,7.46,丹参,4,28.09
O=C(/C=C/C1=C[C@@H]2[C@H](C3=CC=C(O)C(O)=C3)[C@@H](C(=O)O)[C@H]1C(=O)[C@@]21O[C@@]2(O)[C@H]3C(/C=C/C(=O)O[C@H](CC4=CC=C(O)C(O)=C4)C(=O)O)=C[C@H]([C@H](C4=CC=C(O)C(O)=C4)[C@H]3C(=O)O)[C@@]2(O)O1)O[C@H](CC1=CC=C(O)C(O)=C1)C(=O)O,,Salvia yunnanensis,Shikimates and Phenylpropanoids,6.76,7.46,5.45,6.5,5.47,5.96,6.15,5.79,5.23,7.37,7.2,7.46,丹参,4,28.09
