identifier,canonical_smiles,name,chemical_super_class,np_classifier_pathway,np_classifier_superclass,np_classifier_class,organisms,dois,organism,pathway,pAct_ACC2,pAct_DGAT2,pAct_FASN,pAct_FDFT1,pAct_FXR,pAct_HMGCR,pAct_LXRa,pAct_PPARG,pAct_SCD,pAct_THRb,top3_mean,max_pAct,mw,logp,hbd,hba,obscure,composite
CNP0246635.1,CC(C)[C@@H]1NC(=O)[C@H](C)NC(=O)C2=CC=CC=C2NC(=O)[C@H](CC2=CC=C(O)C=C2)N(C)C1=O,Nectriatide,Organic acids and derivatives,Amino acids and Peptides,Oligopeptides,Cyclic peptides,Unknown-fungus sp. BF-0114,10.1021/acs.jnatprod.8b01056,Unknown-fungus sp. BF-0114,Amino acids and Peptides,6.7,7.53,5.38,5.98,5.53,5.29,5.63,5.94,5.28,6.43,6.89,7.53,466.5380000000002,1.6730999999999987,4,5,2.0,8.96
CNP0357874.1,COC(=O)C(C)CC(=O)C[C@@H](C)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C(=O)[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3=O,"methyl (6R)-2-methyl-4-oxo-6-[(5R,10S,13R,14R,17R)-4,4,10,13,14-pentamethyl-3,7,11,12,15-pentaoxo-1,2,5,6,16,17-hexahydrocyclopenta[a]phenanthren-17-yl]heptanoate",Lipids and lipid-like molecules,Terpenoids,Triterpenoids,"Lanostane, Tirucallane and Euphane triterpenoids",Taiwanofungus camphoratus,10.1021/NP300443P|10.1021/np300443p,Taiwanofungus camphoratus,Terpenoids,6.96,7.57,4.43,6.14,5.69,5.41,5.72,5.23,5.09,5.83,6.89,7.57,540.6530000000004,3.8153000000000032,0,8,2.0,8.96
CNP0311843.1,O=C(O)/C=C/C=C/C1=CC=CC(O)=C1CO,,,Polyketides,,,Zopfiella marina|Zopfiella marina BCC 19240 (or NBRC 30420),10.1039/c9np00069k|10.1080/14786419.2017.1342083,Zopfiella marina|Zopfiella marina BCC 19240 (or NBRC 30420),Polyketides,6.1,7.2,5.34,5.88,4.94,5.84,6.4,5.23,5.11,7.07,6.89,7.2,220.224,1.5385,3,3,2.0,8.96
CNP0288212.1,CC(C)=CCC/C(C)=C/C[C@@]12OC(C)(C)[C@H](Cl)C=C1C(=O)C1=C(O)C=C(O)C=C1C2=O,"(3R,10aR)-3-chloro-10a-[(2E)-3,7-dimethylocta-2,6-dienyl]-6,8-dihydroxy-2,2-dimethyl-3H-benzo[g]chromene-5,10-dione",Lipids and lipid-like molecules,Polyketides,Meroterpenoids,,Marine Bacteria (Unclassified)|Streptomyces|Streptomyces SCSIO 10428|Streptomyces sp.,10.1021/acs.jnatprod.6b00235|10.1039/c4np00144c|10.3390/MD11062113|10.3390/md11062113,Marine Bacteria (Unclassified)|Streptomyces|Streptomyces SCSIO 10428|Streptomyces sp.,Polyketides,6.29,7.7,4.34,5.37,5.4,5.36,5.59,5.56,5.24,6.67,6.89,7.7,444.9550000000002,5.641000000000006,2,5,2.0,8.96
CNP0241555.0,CC(=O)C1=COC(=O)C2=C(O)C=C(O)C=C12,AGI-7,Phenylpropanoids and polyketides,Shikimates and Phenylpropanoids,Coumarins,Isocoumarins,Clonostachys sp.|Unknown-fungus strain Y70832,10.1021/np3008842|10.7164/antibiotics.54.463,Clonostachys sp.|Unknown-fungus strain Y70832,Shikimates and Phenylpropanoids,6.34,7.63,4.51,5.8,5.64,5.7,5.92,5.01,5.03,6.69,6.89,7.63,220.17999999999998,1.4067999999999996,2,5,2.0,8.96
CNP0545445.1,C=C1[C@@H](C)[C@H]2[C@H](CC3=CC=CC=C3)N=C(O)[C@]23OC(=O)/C=C\C2=C(C(=O)CCC[C@@H](C)C/C=C/[C@H]3[C@@H]1O)[C@@H](OC)[C@H]1[C@@H](O)[C@H](O)[C@@]21C(N)=O,"(1~{S},4~{Z},7~{S},8~{R},9~{R},10~{R},11~{S},17~{R},19~{E},21~{S},22~{S},24~{S},25~{S},26~{S})-26-benzyl-8,9,22,28-tetrahydroxy-11-methoxy-17,24-dimethyl-23-methylene-3,13-dioxo-2-oxa-27-azapentacyclo[19.7.0.0^{1,25}.0^{6,12}.0^{7,10}]octacosa-4,6(12),19,27-tetraene-7-carboxamide",Organoheterocyclic compounds,Alkaloids,Pseudoalkaloids,Cytochalasan alkaloids,Blumea densiflora|Cirsium arvense|Corallina rubens|Cratoxylum formosum|Dalea elegans|Euonymus grandiflorus|Hygrophila erecta|Hymenocallis arenicola|Relicina samoensis|Streptomyces cyaneofuscatus|Wardomyces inflatus,,Blumea densiflora|Cirsium arvense|Corallina rubens|Cratoxylum formosum|Dalea elegans|Euonymus grandiflorus|Hygrophila erecta|Hymenocallis arenicola|Relicina samoensis|Streptomyces cyaneofuscatus|Wardomyces inflatus,Alkaloids,6.54,7.23,5.66,6.21,5.37,6.01,5.94,5.47,5.14,6.89,6.89,7.23,674.7910000000004,2.6891000000000003,5,9,2.0,8.96
CNP0355058.1,C[C@H]1OC(=O)C2=C(O)CCC[C@H]2[C@@H]1O,"(3R,4S,bR)-3,4,4a,5,6,7-Hexahydro-4,8-dihidroxy-3-methyl-1H-2-benzopyran-1-one",Organoheterocyclic compounds,Shikimates and Phenylpropanoids,Coumarins,Isocoumarins,Unknown-fungus elegantula,10.1021/np50125a021,Unknown-fungus elegantula,Shikimates and Phenylpropanoids,6.46,7.66,4.38,5.57,5.17,5.42,6.1,4.96,5.06,6.54,6.89,7.66,198.21799999999996,0.9048,2,4,2.0,8.96
CNP0507431.1,CC[C@H]1[C@@H]2C=C[C@@H]3[C@H]4/C=C/C/C(O)=N/CCC[C@@H]5N=C(O)C(=C5O)C(=O)/C=C/[C@@H]4C[C@@H]3[C@H]2C[C@H]1C,"(3~{E},5~{S},7~{R},8~{R},10~{R},11~{R},12~{S},15~{S},16~{S},17~{E},20~{Z},25~{S})-11-ethyl-20,27,28-trihydroxy-10-methyl-21,26-diazapentacyclo[23.2.1.0^{5,16}.0^{7,15}.0^{8,12}]octacosa-1(28),3,13,17,20,26-hexaen-2-one",Lipids and lipid-like molecules,Polyketides,Macrolides,Macrocyclic tetramic acids,Marine Bacteria (Unclassified),10.1021/acs.jnatprod.6b00235,Marine Bacteria (Unclassified),Polyketides,6.31,7.39,4.35,5.38,6.06,5.6,5.88,6.28,5.09,6.98,6.89,7.39,478.6330000000002,5.695800000000005,3,4,2.0,8.96
CNP0276725.1,C[C@H]1NC(=O)C2=C(O)C=C(O)C=C21,"(3r)-5,7-dihydroxy-3-methylisoindolin-1-one",Organoheterocyclic compounds,Alkaloids,Pseudoalkaloids,Isoindole alkaloids,unidentified fungus,10.1039/c3np70117d,unidentified fungus,Alkaloids,6.41,7.53,4.42,5.57,5.27,5.57,5.94,5.47,5.13,6.74,6.89,7.53,179.17499999999998,0.9021999999999999,3,3,2.0,8.96
CNP0178108.0,COC1=CC(O)=C2C(=O)C3=C(C(=O)C2=C1C)C(C)=CO3,,Lipids and lipid-like molecules,Polyketides,Naphthalenes,Naphthoquinones,Senecio linifolius|Senecio mitophyllus|Senecio rosmarinifolius,10.1016/0031-9422(89)80286-9,Senecio linifolius|Senecio mitophyllus|Senecio rosmarinifolius,Polyketides,6.45,7.55,4.33,5.89,5.2,6.11,5.91,5.46,5.0,6.63,6.88,7.55,272.256,2.3860400000000004,1,5,2.0,8.94
CNP0231900.2,CC(C)C1=C2[C@H]3CC=C4[C@@H]5[C@H](O[C@@H]6OC[C@](O)(C(=O)[C@@]65O)[C@@H]4O)[C@]3(C)CC[C@@]2(C)CC1,CJ-15544,Lipids and lipid-like molecules,Terpenoids,Diterpenoids,Cyathane diterpenoids,Hericium coralloides|Hericium ramosum,10.7164/ANTIBIOTICS.51.983|10.7164/antibiotics.51.983,Hericium coralloides|Hericium ramosum,Terpenoids,7.03,7.64,4.38,5.97,5.25,5.2,5.52,5.98,5.2,5.88,6.88,7.64,430.5410000000003,2.262599999999999,3,6,2.0,8.94
CNP0264950.2,CC1=C2C(=C(O)C3=C1[C@@H](C)C(=O)O3)CCC[C@@H]2C,,Lipids and lipid-like molecules,Terpenoids,,,Artemisia sylvatica|Flourensia cernua|Japonicalia delphiniifolia|Lobaria isidiosa|Marinobacter hydrocarbonoclasticus|Scytonema hofmannii,10.1246/CL.1976.73,Artemisia sylvatica|Flourensia cernua|Japonicalia delphiniifolia|Lobaria isidiosa|Marinobacter hydrocarbonoclasticus|Scytonema hofmannii,Terpenoids,6.44,7.53,4.37,6.01,5.17,5.19,5.84,5.07,5.0,6.67,6.88,7.53,246.30599999999993,3.1629200000000015,1,3,2.0,8.94
CNP0140413.1,CNC1=CC(=O)C2=CC(C=C[C@H](O)CCCCCCCCCC(C)C)=NN=C2C1=O,Quinocinnolinomycin D,Organic oxygen compounds,Alkaloids,Tryptophan alkaloids,Quinoline alkaloids,Unknown-fungus sp.,10.1073/pnas.1507743112,Unknown-fungus sp.,Alkaloids,6.58,7.69,4.36,6.36,5.75,5.57,5.68,5.83,5.6,5.96,6.88,7.69,413.56200000000024,4.499900000000005,2,6,2.0,8.94
CNP0235609.1,C=C(C=O)[C@@H]1CC(=O)C=C2[C@@H](OC(=O)/C=C/C=C/C(C)CC(C)CC)CC[C@@H](C(=O)O)[C@@]21C,Sch 420789,Lipids and lipid-like molecules,Terpenoids,,,Unknown-fungus sp.,10.7164/antibiotics.53.837,Unknown-fungus sp.,Terpenoids,6.76,7.45,4.39,6.33,5.47,5.21,5.69,6.16,4.94,6.43,6.88,7.45,456.57900000000035,4.854300000000005,1,5,2.0,8.94
CNP0236564.2,C=C/C=C/C1C=C(/C=C/C)C(=O)O1,,,Polyketides,Miscellaneous polyketides,Miscellaneous polyketides,Unknown-fungus sp.s,10.1016/j.phytochem.2006.12.017,Unknown-fungus sp.s,Polyketides,6.33,7.63,4.33,5.79,5.46,5.36,5.04,6.68,4.99,5.45,6.88,7.63,176.21499999999995,2.1564999999999994,0,2,2.0,8.94
CNP0354961.0,CC(=O)CC1=CC2=C(C(=O)C=CC2=O)C(O)=C1C,"7-Acetonyl-5-hydroxy-6-methyl-1,4-NQ",Benzenoids,Polyketides,Naphthalenes,Naphthoquinones,Unknown-fungus sp.,10.1080/00021369.1988.10868801,Unknown-fungus sp.,Polyketides,6.36,7.69,4.4,5.69,5.27,5.74,5.93,5.35,5.13,6.59,6.88,7.69,244.24599999999998,1.76732,1,4,2.0,8.94
CNP0330809.1,C=C(C1=CC(=O)C(C)=C(O)C1=O)[C@H](CC=C(C)C)OC(=O)/C(C)=C\C,,Lipids and lipid-like molecules,Terpenoids,Sesquiterpenoids,Bisabolane sesquiterpenoids,Senecio rosmarinifolius,10.1016/S0031-9422(00)81111-5,Senecio rosmarinifolius,Terpenoids,6.51,7.63,4.34,6.08,5.32,5.8,5.72,5.4,5.27,6.5,6.88,7.63,344.4070000000001,3.6871000000000027,1,5,2.0,8.94
CNP0141932.1,C[C@@H]1C[C@@H](O)CCCC2=CC(O)=CC(O)=C2C(=O)O1,"3R,5S-Sonnerlactone",Benzenoids,Shikimates and Phenylpropanoids,Coumarins,Isocoumarins,Unknown-fungus sp. strain Zh6-B1|unidentified fungus|zh6-b1,10.1016/j.bmcl.2010.04.036|10.1039/c2np00090c,Unknown-fungus sp. strain Zh6-B1|unidentified fungus|zh6-b1,Shikimates and Phenylpropanoids,6.31,7.62,4.44,5.46,5.29,5.15,5.89,5.16,5.13,6.7,6.88,7.62,266.293,1.7304000000000002,3,5,2.0,8.94
CNP0141932.2,C[C@@H]1C[C@H](O)CCCC2=CC(O)=CC(O)=C2C(=O)O1,"3R,5R-Sonnerlactone",Benzenoids,Shikimates and Phenylpropanoids,Coumarins,Isocoumarins,Unknown-fungus sp. strain Zh6-B1|unidentified fungus|zh6-b1,10.1016/j.bmcl.2010.04.036|10.1039/c2np00090c,Unknown-fungus sp. strain Zh6-B1|unidentified fungus|zh6-b1,Shikimates and Phenylpropanoids,6.31,7.62,4.44,5.46,5.29,5.15,5.89,5.16,5.13,6.7,6.88,7.62,266.293,1.7304000000000002,3,5,2.0,8.94
CNP0420827.1,O=C(O)CCC(=O)O[C@H]1CCCCCCCCC[C@@H](CO)OC(=O)/C=C\[C@H]1O,,Organic acids and derivatives,Polyketides,Macrolides,Macrolide lactones,Unknown-fungus sp.,10.1021/acs.jnatprod.7b00133,Unknown-fungus sp.,Polyketides,6.42,8.03,4.43,5.65,5.73,5.24,5.89,5.18,5.33,6.18,6.88,8.03,400.4680000000001,2.1087000000000002,3,7,2.0,8.94
CNP0577513.2,C=C(CC[C@@H](C)[C@H]1CC[C@H]2C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)[C@@H](C)[C@@H]1C[C@H]3O)C(C)C,Antcamphorol J,Lipids and lipid-like molecules,Terpenoids,Steroids,Ergostane steroids,Antrodia camphorata|Taiwanofungus camphoratus,10.1021/ACS.JNATPROD.9B00580|10.1021/acs.jnatprod.9b00580,Antrodia camphorata|Taiwanofungus camphoratus,Terpenoids,6.87,7.91,4.45,5.86,5.3,5.23,5.52,5.34,5.21,5.61,6.88,7.91,440.66800000000023,6.302900000000008,1,3,2.0,8.94
CNP0565731.1,COC1=C2C3=C4C5=C(C(OC)=CC(=O)C5=C(O)C[C@]45C[C@](C)(O)[C@H]2[C@]5(C)O)C2=C3C(=C1O)C(=O)C=C2OC,Hypomycin E,Benzenoids,Polyketides,Polycyclic aromatic polyketides,Anthraquinones and anthrones,Unknown-fungus strain MSX60519,10.1021/acs.jnatprod.0c00492,Unknown-fungus strain MSX60519,Polyketides,6.55,7.53,4.36,5.79,6.3,5.67,5.79,5.85,5.18,6.55,6.88,7.53,518.5180000000003,2.0652999999999997,4,9,2.0,8.94
CNP0309661.1,CC1(C)OC2=CC(CC3=C(C4=CC=C(O)C=C4)C(=O)NC3=O)=CC=C2C[C@@H]1O,,Organoheterocyclic compounds,Shikimates and Phenylpropanoids,Diazotetronic acids and derivatives,Pulvinones,Aspergillus terreus|Fungi,10.1016/J.FITOTE.2018.10.011|10.1016/j.fitote.2018.10.011,Aspergillus terreus|Fungi,Shikimates and Phenylpropanoids,6.63,7.56,5.32,6.22,5.57,6.17,5.92,5.56,5.13,6.46,6.88,7.56,379.4120000000001,2.1192999999999995,3,5,2.0,8.94
CNP0290513.0,O=C1C(=O)C2=C(OC=C2O)C2=CC=CC=C12,"3-hydroxy-naphtho[1,2-b]furan-4,5-dione",Organoheterocyclic compounds,Polyketides,Naphthalenes,Naphthoquinones,Avicennia marina,10.1016/0031-9422(85)80018-2,Avicennia marina,Polyketides,6.3,7.7,5.58,6.0,5.25,5.47,5.31,5.25,5.16,6.65,6.88,7.7,214.17600000000002,2.0311999999999992,1,4,2.0,8.94
CNP0187806.0,COC(=O)C1=CC=CC2=C1C(=O)C1=C(O)C=C(CO)C=C1O2,SYDOWININ A,Organoheterocyclic compounds,Polyketides,Xanthones,Methyl xanthones,Aspergillus sydowii|Unknown-fungus sp.,10.1016/J.BMC.2013.04.004|10.1016/j.bmc.2013.04.004|10.1021/NP200374J|10.1021/np200374j|10.1271/bbb1961.39.2341,Aspergillus sydowii|Unknown-fungus sp.,Polyketides,6.28,7.68,5.16,6.13,5.28,6.05,5.94,5.38,4.99,6.67,6.88,7.68,300.266,1.9306999999999996,2,6,2.0,8.94
CNP0258111.1,C=C(CC[C@@H](C)[C@H]1CC=C2C3=C(C(=O)C[C@@]21C)[C@@]1(C)CCC(=O)[C@@H](C)[C@@H]1CC3)[C@@H](C)C(=O)O,,Lipids and lipid-like molecules,Terpenoids,Steroids,Ergostane steroids,Antrodia cinnamomea|Taiwanofungus camphoratus,10.1016/0031-9422(95)00541-2,Antrodia cinnamomea|Taiwanofungus camphoratus,Terpenoids,6.9,7.62,4.44,6.11,5.71,5.25,5.65,5.53,5.27,5.67,6.88,7.62,452.6350000000003,6.316900000000007,1,3,2.0,8.94
CNP0110215.1,CNC1=CC(=O)C2=CC(C=C[C@H](O)CCCCCCCCC(C)C)=NN=C2C1=O,Quinocinnolinomycin A,Organic oxygen compounds,Alkaloids,Tryptophan alkaloids,Quinoline alkaloids,Unknown-fungus sp.,10.1073/pnas.1507743112,Unknown-fungus sp.,Alkaloids,6.58,7.69,4.36,6.36,5.75,5.57,5.68,5.83,5.6,5.96,6.88,7.69,399.5350000000002,4.1098000000000035,2,6,2.0,8.94
CNP0529990.1,C/C=C(\C)[C@H](O)[C@H](C)/C=C(C)/C=C/C/C(C)=C/CC1=NC(OC)=C(OC)C(O)=C1C,Piericidin-A,Lipids and lipid-like molecules,Polyketides,Meroterpenoids,,A new engineered strain of Pichia pastoris [n.a.]|Iotrochota cf. iota|Marine Bacteria (Unclassified)|Streptomyces sp.|Streptomyces sp. KCB13F030|streptomyces sp. dra 17,,A new engineered strain of Pichia pastoris [n.a.]|Iotrochota cf. iota|Marine Bacteria (Unclassified)|Streptomyces sp.|Streptomyces sp. KCB13F030|streptomyces sp. dra 17,Polyketides,5.75,7.28,4.57,6.3,5.4,5.82,5.61,5.67,5.14,7.07,6.88,7.28,415.5740000000002,5.457420000000007,2,5,2.0,8.94
CNP0208587.1,CC[C@@H](O)CCCCC[C@H]1CCC(=O)O1,10-hydroxy-gamma-dodecalactone,Lipids and lipid-like molecules,Fatty acids,Fatty esters,Lactones,Antrodia camphorata|Taiwanofungus camphoratus,10.1080/14786410601132410,Antrodia camphorata|Taiwanofungus camphoratus,Fatty acids,6.56,7.88,4.36,6.19,5.24,5.08,5.47,5.45,5.38,5.69,6.88,7.88,214.30499999999998,2.4134,1,3,2.0,8.94
CNP0338247.1,CC(C)C1=C2[C@H]3[C@@H](O)C=C(C=O)[C@@H]4[C@H](O[C@@H]5OC[C@@H](O)C(=O)[C@@]54O)[C@]3(C)CC[C@@]2(C)CC1,Striatin C,Lipids and lipid-like molecules,Terpenoids,Diterpenoids,Cyathane diterpenoids,Cyathus striatus|Hericium coralloides,10.1515/ZNC-2002-3-411|10.7164/ANTIBIOTICS.30.221|10.7164/antibiotics.30.221,Cyathus striatus|Hericium coralloides,Terpenoids,6.91,7.56,4.38,6.16,5.09,5.15,5.58,5.14,5.14,5.54,6.88,7.56,446.5400000000003,1.687599999999999,3,7,2.0,8.94
CNP0231900.1,CC(C)C1=C2[C@H]3CC=C4[C@@H]5[C@@H](O[C@@H]6OC[C@@](O)(C(=O)[C@@]65O)[C@@H]4O)[C@]3(C)CC[C@]2(C)CC1,,Lipids and lipid-like molecules,Terpenoids,Diterpenoids,Cyathane diterpenoids,Hericium coralloides|Hericium ramosum CL24240,10.7164/ANTIBIOTICS.51.983,Hericium coralloides|Hericium ramosum CL24240,Terpenoids,7.03,7.64,4.38,5.97,5.25,5.2,5.52,5.98,5.2,5.88,6.88,7.64,430.5410000000003,2.262599999999999,3,6,2.0,8.94
CNP0136792.1,CC(=O)O[C@@H]1CO[C@H]2O[C@H]3[C@@H](C(C=O)=C[C@H](O)[C@@H]4C5=C(C(C)C)CC[C@]5(C)CC[C@@]34C)[C@@]2(O)C1=O,Straital B,Lipids and lipid-like molecules,Terpenoids,Diterpenoids,Cyathane diterpenoids,Cyathus striatus|Hericium coralloides|Laxitextum incrustatum,10.1002/(SICI)1099-1573(199705)11:3<193::AID-PTR68>3.0.CO;2-R|10.1021/acs.jnatprod.5b00950|10.1515/ZNC-2002-3-411|10.7164/ANTIBIOTICS.30.221|10.7164/antibiotics.30.221,Cyathus striatus|Hericium coralloides|Laxitextum incrustatum,Terpenoids,6.88,7.66,4.43,6.09,5.09,5.18,5.49,5.68,5.13,5.61,6.88,7.66,488.57700000000045,2.2583999999999995,2,8,2.0,8.94
CNP0206144.2,CC(C)CCC[C@@H](C)[C@H]1CC[C@@H]2[C@@H]3C(=O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,,Lipids and lipid-like molecules,Terpenoids,Steroids,Cholestane steroids,Marine,10.1039/c6fo01154c,Marine,Terpenoids,7.0,7.54,4.35,6.11,5.37,5.39,5.37,6.0,5.46,5.73,6.88,7.54,400.6470000000002,6.567700000000008,1,2,2.0,8.94
CNP0114769.2,O=C1C[C@H]2S[C@H]3C[C@]2(C=C1Br)C1=C(N3)C(=O)C2=C3C1=NCCC3=CN2,(+)-Discorhabdin A,Organoheterocyclic compounds,Alkaloids,Tryptophan alkaloids,Pyrroloquinoline alkaloids,Ageratina aromatica|Batzella melanos|Bryopsis pennata|Higginsia|Hypomyces odoratus|Latrunculia brevis|Latrunculia sp.|Lecanora tartarea|Prianos melanos|Strongylodesma algoaensis|latrunculia sp.|latrunculid sponges|spongosorite,10.1016/S0040-4039(00)96664-4|10.1021/JO00252A052|10.1021/NP8007667|10.1021/NP900287E|10.1021/np034084b|10.1021/np8007667|10.1021/np900281r|10.1021/np900287e|10.1039/np9880500613|10.11646/ZOOTAXA.584.1.1,Ageratina aromatica|Batzella melanos|Bryopsis pennata|Higginsia|Hypomyces odoratus|Latrunculia brevis|Latrunculia sp.|Lecanora tartarea|Prianos melanos|Strongylodesma algoaensis|latrunculia sp.|latrunculid sponges|spongosorite,Alkaloids,6.53,7.69,4.31,5.78,6.42,5.15,5.21,5.58,5.35,6.25,6.88,7.69,416.3000000000002,2.4831000000000003,2,5,2.0,8.94
CNP0296907.3,C/C=C(\C)C(OC1OC(CO)C(O)C(O)C1O)C(C)/C=C(C)/C=C/CC(C)/C=C/C1=C(C)C(=O)C(CC)=C(OC)O1,,,Polyketides,Linear polyketides,Open-chain polyketides,Streptomyces albus|Unknown-fungus sp.,10.1021/NP200196J|10.1021/np200196j,Streptomyces albus|Unknown-fungus sp.,Polyketides,6.55,7.58,4.41,6.47,5.29,5.51,5.62,5.71,5.08,5.92,6.87,7.58,576.7270000000003,3.8485200000000024,4,9,2.0,8.93
CNP0354975.0,NC1=CC=C2N=C3C=CC=C(O)C3=NC2=C1,8-Aminophenazin-1-ol,Organoheterocyclic compounds,Alkaloids,Anthranilic acid alkaloids,Phenazine alkaloids,Unknown-fungus sp.,10.1002/jhet.5570060305,Unknown-fungus sp.,Alkaloids,6.24,7.17,5.34,5.8,5.41,5.91,6.35,5.23,5.14,7.09,6.87,7.17,211.22400000000002,2.0707999999999993,2,4,2.0,8.93
CNP0497436.1,CC[C@H]1[C@@H]2C=C[C@@H]3[C@H]4C/C=C\C(O)=N\CCC[C@@H]5N=C(O)C(=C5O)C(=O)/C=C/[C@@H]4C[C@@H]3[C@H]2C[C@H]1C,Ikarugamycin,Lipids and lipid-like molecules,Polyketides,Macrolides,Macrocyclic tetramic acids,Marine Bacteria (Unclassified),,Marine Bacteria (Unclassified),Polyketides,6.25,7.35,4.35,5.39,5.99,5.56,5.89,5.6,5.12,7.02,6.87,7.35,478.6330000000002,5.695800000000005,3,4,2.0,8.93
CNP0423106.1,CC(=O)O[C@H]1C[C@H]([C@H](C)CC(=O)CC(C)C(=O)O)[C@@]2(C)CC(=O)C3=C(CC[C@H]4C(C)(C)C(=O)CC[C@]34C)[C@]12C,15-O-Acetylganolucidate A,Lipids and lipid-like molecules,Terpenoids,Triterpenoids,"Lanostane, Tirucallane and Euphane triterpenoids",Antrodia camphorata|Taiwanofungus camphoratus,10.1021/NP300443P|10.1021/np300443p,Antrodia camphorata|Taiwanofungus camphoratus,Terpenoids,6.99,7.56,4.62,5.86,5.24,5.21,5.56,5.15,5.1,6.06,6.87,7.56,542.7130000000004,5.731500000000006,1,6,2.0,8.93
CNP0568158.1,CC1=CC(C)=C(O)C(C(=O)C[C@@H]2CC(=O)NC(=O)C2O)=C1,C-73X1,Organic oxygen compounds,Alkaloids,Lysine alkaloids,Piperidine alkaloids,Unknown-fungus sp.,10.1021/jm00314a044,Unknown-fungus sp.,Alkaloids,6.46,7.67,4.4,5.79,6.3,5.37,5.72,5.99,5.05,6.49,6.87,7.67,291.30299999999994,0.60544,3,5,2.0,8.93
CNP0203427.1,C[C@]1(C(=O)O)CCC[C@]2(C)C3=CC(=O)OCC3=CC[C@@H]12,Oidiodendronic acid,Organoheterocyclic compounds,Terpenoids,Diterpenoids,,Epipedobates tricolor|Lactuca serriola|Myrica nagi|Oidiodendron truncatum|Unknown-fungus sp.,10.1248/CPB.47.1591|10.1248/cpb.47.1591,Epipedobates tricolor|Lactuca serriola|Myrica nagi|Oidiodendron truncatum|Unknown-fungus sp.,Terpenoids,6.81,7.19,4.4,5.62,5.42,4.99,5.44,6.6,5.07,5.9,6.87,7.19,276.332,2.697000000000001,1,3,2.0,8.93
CNP0523748.1,COC1=C(O)[C@H](O)[C@H](C/C=C(\C)CC/C=C(\C)C[C@H](O)/C=C(\C)CO)[C@@H](C)C1=O,"(4R,5R,6R)-5-[(2E,6E,9S,10E)-9,12-dihydroxy-3,7,11-trimethyldodeca-2,6,10-trienyl]-3,4-dihydroxy-2-methoxy-6-methylcyclohex-2-en-1-one",Lipids and lipid-like molecules,Terpenoids,Meroterpenoids,Prenyl quinone meroterpenoids,Antrodia cinnamomea|Taiwanofungus camphoratus|antrodia cinnamomea,10.1021/ACS.JNATPROD.7B00223|10.1021/acs.jnatprod.7b00223,Antrodia cinnamomea|Taiwanofungus camphoratus|antrodia cinnamomea,Terpenoids,6.49,7.66,4.37,6.2,5.39,6.07,5.54,5.25,5.26,6.45,6.87,7.66,408.5350000000001,3.350800000000002,4,6,2.0,8.93
CNP0193414.3,C=C(CC[C@@H](C)[C@H]1CC[C@H]2C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(O)[C@](C)(O)C1CC3O)C(C)C(=O)O,"(6R)-6-[(1R,3aR,6R,9aS,11aR)-4,6,7-trihydroxy-6,9a,11a-trimethyl-10-oxo-1H,2H,3H,3aH,4H,5H,5aH,6H,7H,8H,9H,9aH,10H,11H,11aH-cyclopenta[a]phenanthren-1-yl]-2-methyl-3-methylideneheptanoic acid",Lipids and lipid-like molecules,Terpenoids,Steroids,Ergostane steroids,Taiwanofungus camphoratus,,Taiwanofungus camphoratus,Terpenoids,6.88,7.88,4.48,5.84,5.15,5.14,5.53,5.25,5.21,5.61,6.87,7.88,488.66500000000025,4.274300000000003,4,5,2.0,8.93
CNP0105055.1,CC1=COC2=C(O)C3=C(C(C)=C12)[C@@H](C)CCC3=O,,Lipids and lipid-like molecules,Terpenoids,Sesquiterpenoids,Cadinane sesquiterpenoids,Artemisia sylvatica|Flourensia cernua|Lobaria isidiosa|Marinobacter hydrocarbonoclasticus|Scytonema hofmannii,,Artemisia sylvatica|Flourensia cernua|Lobaria isidiosa|Marinobacter hydrocarbonoclasticus|Scytonema hofmannii,Terpenoids,6.47,7.64,4.36,5.62,5.47,5.22,5.8,5.4,5.02,6.49,6.87,7.64,244.28999999999994,3.8352400000000024,1,3,2.0,8.93
CNP0227025.0,COC1=C(C)C2=C(OC3=C(C=O)C(O)=C(Cl)C(C)=C3C(=O)O2)C(C=O)=C1Cl,,Phenylpropanoids and polyketides,Polyketides,Aromatic polyketides,Depsidones,Cryptomeria japonica|Phyllopsora corallina|Psora corallina,10.1071/CH9901953,Cryptomeria japonica|Phyllopsora corallina|Psora corallina,Polyketides,6.22,7.62,4.36,6.26,5.2,5.87,5.71,6.39,5.02,6.6,6.87,7.62,411.1930000000002,4.274340000000001,1,7,2.0,8.93
CNP0239162.1,CCC(C)CCCCCCCC[C@@H](O)C=CC1=CC2=C(N=N1)C(=O)C(NC)=CC2=O,Quinocinnolinomycin C,Organic oxygen compounds,Alkaloids,Tryptophan alkaloids,Quinoline alkaloids,Unknown-fungus sp.,10.1073/pnas.1507743112,Unknown-fungus sp.,Alkaloids,6.56,7.7,4.34,6.34,5.75,5.44,5.66,5.83,5.61,6.0,6.87,7.7,413.5620000000002,4.499900000000003,2,6,2.0,8.93
